Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
203,Léo Baptistão,br BRA,FWMF,Almería,es La Liga,30-194,1992,19,16,1166,13.0,3,1,4,3,0,0,5,0,3.2,3.2,0.9,4.1,26,38,53,0.23,0.08,0.31,0.23,0.31,0.24,0.07,0.32,0.24,0.32,Matches,35f6db55
204,Shandon Baptiste,gd GRN,MF,Brentford,eng Premier League,24-334,1998,13,4,439,4.9,0,0,0,0,0,0,1,0,0.2,0.2,0.7,0.9,8,32,19,0.00,0.00,0.00,0.00,0.00,0.04,0.15,0.19,0.04,0.19,Matches,2886c9b5
205,Antonín Barák,cz CZE,MF,Hellas Verona,it Serie A,28-095,1994,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,01efac19
206,Antonín Barák,cz CZE,MF,Fiorentina,it Serie A,28-095,1994,20,13,1145,12.7,2,0,2,2,0,0,3,0,1.5,1.5,1.4,3.0,28,54,65,0.16,0.00,0.16,0.16,0.16,0.12,0.11,0.23,0.12,0.23,Matches,01efac19
207,Andrea Barberis,it ITA,MF,Monza,it Serie A,29-087,1993,7,3,316,3.5,0,1,1,0,0,0,0,0,0.1,0.1,0.3,0.4,3,13,0,0.00,0.28,0.28,0.00,0.28,0.03,0.09,0.12,0.03,0.12,Matches,32ebfe1e
208,Bradley Barcola,fr FRA,FWMF,Lyon,fr Ligue 1,20-187,2002,16,6,597,6.6,2,1,3,2,0,0,1,0,2.0,2.0,1.4,3.4,25,14,72,0.30,0.15,0.45,0.30,0.45,0.31,0.21,0.52,0.31,0.52,Matches,a0d55a09
209,Melvin Bard,fr FRA,DF,Nice,fr Ligue 1,22-122,2000,21,17,1588,17.6,0,0,0,0,0,0,4,0,0.3,0.3,0.5,0.8,28,48,76,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches,1ddbc7ca
210,Keidi Bare,al ALB,MF,Espanyol,es La Liga,25-192,1997,11,3,330,3.7,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,4,15,6,0.00,0.00,0.00,0.00,0.00,0.14,0.05,0.18,0.14,0.18,Matches,03049c8c
211,Nicolò Barella,it ITA,MF,Inter,it Serie A,26-029,1997,24,22,1882,20.9,5,6,11,5,0,0,4,0,2.2,2.2,4.2,6.4,53,132,127,0.24,0.29,0.53,0.24,0.53,0.11,0.20,0.31,0.11,0.31,Matches,6928979a
212,Kike Barja,es ESP,FWMF,Osasuna,es La Liga,25-341,1997,14,6,549,6.1,1,2,3,1,0,0,1,0,0.3,0.3,1.3,1.6,32,15,89,0.16,0.33,0.49,0.16,0.49,0.04,0.21,0.26,0.04,0.26,Matches,aad53e64
