Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,-9999
1611,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,30-188,1992,22.4,882,744,872,10,0,0,882,0,0,,0,,490,2563,1555,0,0,0,2,0,419,0,Matches,7956236f
1612,Iñigo Martínez,es ESP,DF,Athletic Club,es La Liga,31-296,1991,10.0,653,82,320,309,25,9,653,0,0,,0,,371,2341,1619,6,9,0,4,2,375,2,Matches,3fc45c73
1613,Lautaro Martínez,ar ARG,FW,Inter,it Serie A,25-199,1997,21.7,801,16,60,349,401,128,800,60,20,33.3,29,48.3,460,2062,971,37,24,15,50,35,591,127,Matches,f7036e1c
1614,Lisandro Martínez,ar ARG,DF,Manchester Utd,eng Premier League,25-050,1998,19.6,1502,242,781,684,47,8,1502,12,11,91.7,0,0.0,858,4303,2518,11,13,0,10,8,941,1,Matches,bac46a10
1615,Lucas Martínez Quarta,ar ARG,DF,Fiorentina,it Serie A,26-303,1996,16.1,1237,96,578,597,79,29,1237,10,7,70.0,2,20.0,712,4409,2196,16,22,1,8,2,743,5,Matches,3ec3c1c9
1616,Roger Martínez,es ESP,DF,Espanyol,es La Liga,18-338,2004,0.1,6,0,0,1,5,1,6,0,0,,0,,3,10,4,0,0,0,0,0,4,0,Matches,937c6ae6
1617,Gelson Martins,pt POR,MFFW,Monaco,fr Ligue 1,27-302,1995,3.8,219,3,30,74,118,22,219,13,3,23.1,9,69.2,168,1029,525,14,9,6,10,7,153,48,Matches,3ef0fa48
1618,Adam Marušić,me MNE,DF,Lazio,it Serie A,30-143,1992,24.3,1647,74,628,813,215,16,1647,11,6,54.5,3,27.3,872,3990,2240,34,29,4,11,11,1080,37,Matches,d4535821
1619,Omar Mascarell,es ESP,MF,Elche,es La Liga,30-035,1993,20.2,1069,58,294,666,120,4,1069,19,11,57.9,6,31.6,557,3266,1290,20,16,0,12,10,629,5,Matches,11fd2b75
1620,Adam Masina,ma MAR,DF,Udinese,it Serie A,29-066,1994,5.3,289,29,143,124,26,3,289,0,0,,0,,166,941,478,3,2,1,2,1,168,2,Matches,de0f152c
1621,Jordi Masip,es ESP,GK,Valladolid,es La Liga,34-065,1989,16.9,666,623,665,1,0,0,666,0,0,,0,,349,1758,1058,0,0,0,0,0,289,0,Matches,8fae77ea
1622,Erhan Mašović,rs SRB,DF,Bochum,de Bundesliga,24-107,1998,13.5,659,68,339,295,28,10,659,2,1,50.0,1,50.0,311,1418,608,3,2,0,8,2,347,2,Matches,a396fb61
1623,Han-Noah Massengo,fr FRA,MF,Auxerre,fr Ligue 1,21-245,2001,4.9,198,3,43,112,47,7,198,11,5,45.5,6,54.5,122,753,380,9,9,3,7,3,126,13,Matches,eba1e557
1624,Yanis Massolin,fr FRA,MF,Clermont Foot,fr Ligue 1,20-170,2002,0.7,50,1,17,25,9,1,50,3,0,0.0,3,100.0,37,171,66,0,1,0,0,0,30,0,Matches,6ea05ca7
1625,Jaime Mata,es ESP,FW,Getafe,es La Liga,34-136,1988,0.5,23,0,1,13,9,3,23,0,0,,0,,11,25,3,0,0,0,2,1,18,2,Matches,02319ad7
1626,Pape Matar Sarr,sn SEN,MF,Tottenham,eng Premier League,20-176,2002,1.5,124,9,43,67,14,1,124,3,0,0.0,1,33.3,90,447,178,1,0,0,3,2,89,0,Matches,feb5d972
1627,Eliot Matazo,be BEL,MFFW,Monaco,fr Ligue 1,21-022,2002,8.0,362,16,74,251,40,0,362,8,1,12.5,6,75.0,243,1315,574,3,4,0,2,7,231,4,Matches,15944afd
1628,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,eng Premier League,25-254,1997,7.6,229,15,34,92,104,30,229,7,3,42.9,4,57.1,119,497,185,6,8,2,23,14,154,33,Matches,50e6dc35
1629,Nemanja Matić,rs SRB,MF,Roma,it Serie A,34-220,1988,14.9,1056,38,249,664,160,15,1056,15,9,60.0,4,26.7,634,3613,2062,35,30,3,18,12,714,13,Matches,eb7822d7
1630,Joël Matip,cm CMR,DF,Liverpool,eng Premier League,31-213,1991,9.1,757,90,377,344,43,9,757,7,4,57.1,3,42.9,477,3277,2339,24,20,1,12,1,537,1,Matches,b217ef29
1631,Henning Matriciani,de GER,DF,Schalke 04,de Bundesliga,22-360,2000,11.7,618,60,317,255,50,4,618,5,2,40.0,3,60.0,272,1300,663,8,6,0,8,2,293,1,Matches,ab3f1bdf
1632,Chrislain Matsima,fr FRA,DFMF,Lorient,fr Ligue 1,20-298,2002,2.5,145,25,90,51,4,3,145,0,0,,0,,114,599,310,0,2,0,2,0,108,0,Matches,cf1ef7ec
1633,Chrislain Matsima,fr FRA,DF,Monaco,fr Ligue 1,20-298,2002,1.4,128,5,24,71,34,1,128,1,1,100.0,0,0.0,59,252,126,3,1,0,0,0,84,9,Matches,cf1ef7ec
1634,Jean Mattéo Bahoya,fr FRA,FW,Angers,fr Ligue 1,17-306,2005,0.1,6,0,0,1,5,0,6,0,0,,0,,4,10,3,0,0,0,0,0,5,2,Matches,70d4c949
1635,Azor Matusiwa,nl NED,MF,Reims,fr Ligue 1,24-315,1998,18.5,1226,66,364,720,155,1,1226,16,9,56.3,5,31.3,854,4190,1910,7,14,0,16,8,753,9,Matches,a17a94d6
1636,Neal Maupay,fr FRA,FW,Everton,eng Premier League,26-207,1996,10.5,322,1,23,147,157,43,322,13,5,38.5,8,61.5,186,747,251,7,5,3,36,15,237,50,Matches,4bcf39f6
1637,Aïman Maurer,ma MAR,MF,Clermont Foot,fr Ligue 1,18-165,2004,2.8,94,3,15,38,43,8,94,15,10,66.7,3,20.0,67,570,272,11,6,2,10,1,64,16,Matches,87d31635
1638,Stephy Mavididi,eng ENG,FW,Montpellier,fr Ligue 1,24-282,1998,9.4,319,11,46,140,145,29,319,36,14,38.9,20,55.6,230,1623,600,18,22,7,31,20,219,53,Matches,30144daa
1639,Konstantinos Mavropanos,gr GRE,DF,Stuttgart,de Bundesliga,25-088,1997,18.8,1349,157,641,612,120,34,1349,27,11,40.7,11,40.7,686,3554,1808,20,20,2,26,4,770,10,Matches,00963611
1640,Christian Mawissa,fr FRA,DF,Toulouse,fr Ligue 1,17-325,2005,1.1,56,5,11,34,11,0,56,1,0,0.0,1,100.0,39,195,113,1,2,0,0,0,35,1,Matches,2c70d915
1641,Philipp Max,de GER,DF,Eint Frankfurt,de Bundesliga,29-160,1993,4.0,292,9,69,132,93,9,292,4,2,50.0,2,50.0,147,649,311,6,5,0,5,1,185,29,Matches,826e8b63
1642,Eric Maxim Choupo-Moting,cm CMR,FW,Bayern Munich,de Bundesliga,33-351,1989,11.4,377,6,18,157,203,64,376,26,17,65.4,6,23.1,244,903,238,8,4,4,31,15,295,73,Matches,0e6bc38c
1643,Luís Maximiano,pt POR,GK,Lazio,it Serie A,24-063,1999,0.1,4,4,4,0,0,0,4,0,0,,0,,3,4,0,0,0,0,0,0,3,0,Matches,3318286e
1644,Fernand Mayembo,cg CGO,DF,Ajaccio,fr Ligue 1,27-059,1996,6.0,306,56,189,111,8,5,306,1,0,0.0,0,0.0,195,935,442,2,1,0,3,1,169,0,Matches,b20cc590
1645,Borja Mayoral,es ESP,FW,Getafe,es La Liga,25-338,1997,21.8,777,12,82,384,319,87,775,48,14,29.2,27,56.3,478,2497,1136,42,25,18,50,39,569,120,Matches,64e8ed6d
1646,Noussair Mazraoui,ma MAR,DF,Bayern Munich,de Bundesliga,25-115,1997,6.2,503,15,157,232,117,11,503,11,5,45.5,4,36.4,298,1313,731,13,11,1,5,1,347,24,Matches,b74277a0
1647,Pasquale Mazzocchi,it ITA,DF,Salernitana,it Serie A,27-225,1995,14.1,755,36,216,280,269,25,755,54,26,48.1,22,40.7,405,2901,1565,48,38,8,31,21,426,74,Matches,eb0ec070
1648,Kevin Mbabu,ch SUI,DFFW,Fulham,eng Premier League,27-324,1995,1.6,114,4,38,40,38,0,114,6,4,66.7,2,33.3,57,273,159,4,2,0,1,2,59,11,Matches,493924a7
1649,Kylian Mbappé,fr FRA,FW,Paris S-G,fr Ligue 1,24-079,1998,19.3,1057,5,24,332,714,196,1053,130,47,36.2,71,54.6,923,6114,2992,116,84,60,40,24,929,296,Matches,42fd9c7f
1650,Mamadou Mbaye,sn SEN,DF,Cádiz,es La Liga,24-254,1998,6.0,259,46,158,94,10,8,259,3,3,100.0,0,0.0,102,403,152,1,1,0,3,1,131,0,Matches,8aae94b9
1651,Chancel Mbemba,cd COD,DF,Marseille,fr Ligue 1,28-213,1994,23.4,1520,131,516,764,247,38,1520,16,8,50.0,4,25.0,1080,5945,3182,35,46,9,16,8,1018,31,Matches,e76cb9cc
1652,Bryan Mbeumo,cm CMR,FW,Brentford,eng Premier League,23-214,1999,20.4,777,13,117,224,447,67,776,43,20,46.5,19,44.2,461,2525,942,34,14,14,45,37,513,142,Matches,6afaebf2
1653,Jason Mbock,fr FRA,MFFW,Angers,fr Ligue 1,23-128,1999,0.3,11,0,0,5,6,0,11,1,0,0.0,1,100.0,7,34,5,0,0,0,0,0,7,2,Matches,890bc029
1654,Nathanael Mbuku,fr FRA,FWMF,Reims,fr Ligue 1,20-358,2002,0.7,37,2,7,17,14,2,37,2,1,50.0,1,50.0,30,206,123,4,2,2,2,1,26,6,Matches,46750e9c
1655,James McArthur,sct SCO,MF,Crystal Palace,eng Premier League,35-153,1987,0.1,9,0,2,6,1,0,9,0,0,,0,,6,26,13,0,0,0,1,1,8,0,Matches,cee31595
1656,John McGinn,sct SCO,MF,Aston Villa,eng Premier League,28-142,1994,16.9,799,21,136,452,218,24,799,28,17,60.7,7,25.0,449,1868,774,11,16,2,34,19,508,42,Matches,90f91999
1657,Scott McKenna,sct SCO,DF,Nott'ham Forest,eng Premier League,26-117,1996,16.2,838,146,484,317,39,16,838,7,5,71.4,1,14.3,418,1847,925,5,1,0,2,2,491,1,Matches,4e5a4cbc
1658,Weston McKennie,us USA,MF,Leeds United,eng Premier League,24-193,1998,5.2,298,10,70,162,71,4,298,6,5,83.3,1,16.7,170,762,320,6,8,0,7,12,198,11,Matches,01c3aff5
1659,Weston McKennie,us USA,MFDF,Juventus,it Serie A,24-193,1998,11.7,527,25,115,250,164,22,527,8,5,62.5,3,37.5,231,1171,678,19,11,2,20,12,349,54,Matches,01c3aff5
1660,Dwight McNeil,eng ENG,FWMF,Everton,eng Premier League,23-107,1999,15.8,784,19,135,304,358,35,784,63,30,47.6,31,49.2,437,2892,1008,40,23,8,32,26,475,84,Matches,fc15fb84
1661,Scott McTominay,sct SCO,MF,Manchester Utd,eng Premier League,26-091,1996,9.1,424,50,144,200,82,14,424,15,9,60.0,4,26.7,202,889,375,8,7,1,16,9,239,15,Matches,d93c2511
1662,Gary Medel,cl CHI,MFDF,Bologna,it Serie A,35-218,1987,14.4,1050,113,446,558,54,0,1050,5,4,80.0,1,20.0,546,2020,869,1,3,0,6,4,670,5,Matches,563a68ad
1663,Facundo Medina,ar ARG,DF,Lens,fr Ligue 1,23-285,1999,21.9,2038,104,598,1299,166,17,2038,28,17,60.7,6,21.4,1653,10337,6033,60,42,1,17,17,1580,27,Matches,6f5ec8bb
1664,Ben Mee,eng ENG,DF,Brentford,eng Premier League,33-169,1989,22.4,1329,181,706,534,93,41,1329,2,2,100.0,0,0.0,701,2737,1280,2,5,2,13,1,719,9,Matches,8df7a2fb
1665,Bamo Meïté,ci CIV,DF,Lorient,fr Ligue 1,21-262,2001,6.8,451,65,238,204,11,4,451,6,4,66.7,1,16.7,333,1951,1147,8,1,0,6,1,342,0,Matches,04ac78d2
1666,Soualiho Meïté,fr FRA,MF,Cremonese,it Serie A,28-357,1994,14.3,680,26,189,386,114,8,680,27,8,29.6,10,37.0,378,1949,873,13,9,3,17,18,418,16,Matches,5cec2c74
1667,Farid El Melali,dz ALG,FWDF,Angers,fr Ligue 1,25-308,1997,5.0,241,3,50,110,92,12,241,29,11,37.9,13,44.8,168,1414,699,23,16,7,18,7,144,33,Matches,d21e361a
1668,Gonzalo Melero,es ESP,MF,Almería,es La Liga,29-066,1994,12.0,556,30,119,313,127,25,556,18,8,44.4,10,55.6,352,1731,750,15,15,2,24,6,400,19,Matches,3902e91b
1669,Birger Meling,no NOR,DF,Rennes,fr Ligue 1,28-082,1994,6.8,490,19,103,263,126,7,490,10,2,20.0,7,70.0,340,2231,1156,28,16,1,8,3,301,32,Matches,70c52749
1670,Memphis,nl NED,FW,Barcelona,es La Liga,29-024,1994,1.3,85,0,5,26,55,13,85,7,2,28.6,3,42.9,50,233,91,2,2,3,7,4,69,19,Matches,8f696594
1671,Memphis,nl NED,FW,Atlético Madrid,es La Liga,29-024,1994,1.5,85,0,5,27,53,15,85,5,1,20.0,4,80.0,56,225,107,3,1,3,12,6,74,16,Matches,8f696594
1672,Houboulang Mendes,fr FRA,DF,Almería,es La Liga,24-309,1998,8.2,375,25,138,160,81,1,375,16,5,31.3,9,56.3,172,984,532,13,8,1,14,9,195,23,Matches,1545cf15
1673,Nuno Mendes,pt POR,DFMF,Paris S-G,fr Ligue 1,20-263,2002,12.1,764,30,166,281,326,44,764,41,14,34.1,24,58.5,564,3055,1464,35,23,13,22,14,527,145,Matches,f20e4cc9
1674,Thiago Mendes,br BRA,MFDF,Lyon,fr Ligue 1,30-359,1992,17.7,1502,93,416,958,131,7,1502,8,4,50.0,4,50.0,1131,5315,2731,5,14,1,15,11,1071,11,Matches,c6e5d20f
1675,Brais Méndez,es ESP,MF,Real Sociedad,es La Liga,26-061,1997,19.3,1157,18,129,568,469,35,1157,37,11,29.7,25,67.6,630,2683,1151,28,30,4,31,24,795,98,Matches,c9e39d91
1676,Diego Méndez,es ESP,MF,Rayo Vallecano,es La Liga,19-192,2003,0.0,3,0,2,1,0,0,3,0,0,,0,,1,0,0,0,0,0,0,0,2,0,Matches,b151a3f2
1677,Antoine Mendy,fr FRA,DF,Nice,fr Ligue 1,18-286,2004,1.9,149,5,44,86,21,5,149,2,2,100.0,0,0.0,92,434,155,0,0,0,6,1,92,14,Matches,3322e296
1678,Arial Mendy,sn SEN,DF,Clermont Foot,fr Ligue 1,28-122,1994,2.5,147,7,45,57,46,5,147,5,0,0.0,2,40.0,92,499,211,6,4,0,2,2,81,22,Matches,9f0f4b49
1679,Batista Mendy,fr FRA,MFDF,Angers,fr Ligue 1,23-056,2000,21.0,1104,50,278,655,185,10,1104,30,17,56.7,9,30.0,837,4520,2027,18,28,2,16,19,772,28,Matches,e472a6f6
1680,Edouard Mendy,sn SEN,GK,Chelsea,eng Premier League,31-008,1992,8.5,286,247,283,3,0,0,286,1,0,0.0,1,100.0,160,744,399,0,0,0,0,0,148,0,Matches,33887998
1681,Ferland Mendy,fr FRA,DF,Real Madrid,es La Liga,27-274,1995,12.5,799,31,216,341,249,8,799,25,16,64.0,7,28.0,495,2569,1304,22,23,2,16,14,574,59,Matches,3cefcaef
1682,Nampalys Mendy,sn SEN,MF,Leicester City,eng Premier League,30-259,1992,6.1,349,8,96,227,29,1,349,3,3,100.0,0,0.0,195,925,306,2,2,0,4,1,241,4,Matches,1598599e
1683,Gideon Mensah,gh GHA,DF,Auxerre,fr Ligue 1,24-234,1998,16.9,1173,59,386,555,253,6,1173,40,18,45.0,18,45.0,725,4650,2139,40,40,1,28,7,630,74,Matches,9bdd8118
1684,Chris Mepham,wls WAL,DF,Bournemouth,eng Premier League,25-124,1997,19.4,992,234,665,312,20,9,992,2,1,50.0,0,0.0,462,2217,1098,1,3,1,4,3,572,0,Matches,fed96827
1685,Jorge Meré,es ESP,DF,Cádiz,es La Liga,25-326,1997,0.0,2,0,0,1,1,0,2,0,0,,0,,2,4,1,0,0,0,0,0,2,0,Matches,9f979eb2
1686,Alex Meret,it ITA,GK,Napoli,it Serie A,25-352,1997,25.0,725,626,724,1,0,0,725,0,0,,0,,399,1716,947,0,0,0,0,0,357,0,Matches,9413b19f
1687,Mikel Merino,es ESP,MF,Real Sociedad,es La Liga,26-260,1996,16.8,1152,67,226,638,298,47,1151,20,11,55.0,8,40.0,612,2326,1020,18,24,2,27,20,763,56,Matches,d080ed5e
1688,Quentin Merlin,fr FRA,DF,Nantes,fr Ligue 1,20-297,2002,14.1,1037,41,262,514,275,7,1037,27,13,48.1,11,40.7,675,3942,1984,33,25,5,16,9,604,62,Matches,0bfca6a1
1689,Yıldırım Mert Çetin,tr TUR,DF,Lecce,it Serie A,26-067,1997,0.2,8,2,5,3,0,0,8,0,0,,0,,3,12,1,0,0,0,2,0,2,0,Matches,c730da00
1690,Roque Mesa,es ESP,MF,Valladolid,es La Liga,33-275,1989,13.4,810,39,205,491,126,6,810,22,12,54.5,8,36.4,536,3277,1539,23,18,2,16,18,563,20,Matches,7c4243d4
1691,Illan Meslier,fr FRA,GK,Leeds United,eng Premier League,23-007,2000,25.0,836,677,830,5,2,1,836,0,0,,0,,435,2567,1456,0,0,0,1,1,311,0,Matches,6b625ac2
1692,Lionel Messi,ar ARG,FWMF,Paris S-G,fr Ligue 1,35-258,1987,20.5,1553,3,58,759,756,117,1553,134,72,53.7,52,38.8,1326,7604,3394,77,85,28,31,51,1340,160,Matches,d70ce98e
1693,Junior Messias,br BRA,FWDF,Milan,it Serie A,31-300,1991,12.3,557,23,94,245,228,38,557,40,18,45.0,16,40.0,325,2104,1090,30,29,10,23,9,370,91,Matches,f49c4ae9
1694,Thomas Meunier,be BEL,DF,Dortmund,de Bundesliga,31-178,1991,6.3,495,23,128,210,160,11,495,10,4,40.0,4,40.0,268,1136,552,9,7,1,8,5,300,43,Matches,e162b013
1695,Alexander Meyer,de GER,GK,Dortmund,de Bundesliga,31-330,1991,5.0,248,162,241,6,1,1,248,0,0,,0,,156,902,505,0,0,0,0,0,131,0,Matches,b56dd813
1696,Sven Michel,de GER,FW,Union Berlin,de Bundesliga,32-237,1990,3.6,168,3,18,48,106,11,167,4,1,25.0,3,75.0,84,400,121,5,4,1,14,7,126,36,Matches,1e274a0a
1697,Alexander Mighten,eng ENG,FW,Nott'ham Forest,eng Premier League,20-332,2002,0.1,4,0,1,0,3,0,4,3,0,0.0,2,66.7,4,27,10,0,0,0,0,0,4,1,Matches,10ec4169
1698,Tommaso Milanese,it ITA,MF,Cremonese,it Serie A,20-221,2002,0.3,19,0,1,7,12,2,19,2,1,50.0,1,50.0,13,71,38,2,1,0,3,1,14,1,Matches,b2561711
1699,Nikola Milenković,rs SRB,DF,Fiorentina,it Serie A,25-148,1997,15.7,1045,96,472,523,57,27,1045,0,0,,0,,590,2408,1155,7,8,0,5,0,636,2,Matches,bee704fc
1700,Arkadiusz Milik,pl POL,FW,Juventus,it Serie A,29-009,1994,11.0,381,10,29,186,171,46,381,10,5,50.0,3,30.0,210,858,350,8,11,1,31,9,299,53,Matches,85613cf0
1701,Arkadiusz Milik,pl POL,FW,Marseille,fr Ligue 1,29-009,1994,1.4,47,3,5,27,15,1,47,1,0,0.0,1,100.0,33,171,53,1,3,0,1,1,36,9,Matches,85613cf0
1702,Sergej Milinković-Savić,rs SRB,MF,Lazio,it Serie A,28-010,1995,21.3,1583,49,293,894,411,44,1583,46,21,45.7,21,45.7,927,3903,1518,33,23,7,72,42,1256,77,Matches,4e6dbac4
1703,Vanja Milinković-Savić,rs SRB,GK,Torino,it Serie A,26-017,1997,25.0,1181,831,1166,16,1,1,1181,0,0,,0,,737,4874,2784,0,0,0,1,1,612,0,Matches,9fa26bc2
1704,Éder Militão,br BRA,DF,Real Madrid,es La Liga,25-050,1998,17.5,1253,171,626,548,86,21,1253,13,9,69.2,3,23.1,747,4082,2399,19,13,1,11,3,841,11,Matches,2784f898
1705,Luka Milivojević,rs SRB,MF,Crystal Palace,eng Premier League,31-336,1991,3.3,202,16,72,98,35,0,202,0,0,,0,,107,445,150,1,2,0,2,5,118,2,Matches,2ce2508a
1706,Luis Milla,es ESP,MF,Getafe,es La Liga,28-153,1994,14.0,829,30,176,518,144,2,829,8,7,87.5,1,12.5,420,1759,831,9,7,1,13,9,471,6,Matches,19c36442
1707,Pere Milla,es ESP,FWMF,Elche,es La Liga,30-167,1992,13.4,582,18,102,307,186,37,579,27,9,33.3,14,51.9,350,1606,772,17,25,3,35,17,398,60,Matches,335039a2
1708,Enzo Millot,fr FRA,MF,Stuttgart,de Bundesliga,20-235,2002,4.1,228,8,49,109,75,15,228,17,5,29.4,9,52.9,108,728,279,10,8,3,9,6,144,21,Matches,f76022e7
1709,James Milner,eng ENG,MFDF,Liverpool,eng Premier League,37-064,1986,7.7,618,20,144,285,191,21,618,19,10,52.6,7,36.8,315,1440,649,16,11,5,14,12,398,57,Matches,2f90f6b8
1710,Marko Milovanović,rs SRB,FW,Almería,es La Liga,19-217,2003,0.2,12,0,1,5,6,1,12,0,0,,0,,5,20,8,0,1,0,0,3,10,3,Matches,1fda2b14
1711,Kim Min-jae,kr KOR,DF,Napoli,it Serie A,26-114,1996,23.5,2206,235,955,1207,56,19,2206,4,1,25.0,3,75.0,1320,5676,3177,23,9,1,12,7,1626,6,Matches,e0f8151c
1712,Yerry Mina,co COL,DF,Everton,eng Premier League,28-167,1994,2.6,207,25,92,107,9,3,207,0,0,,0,,120,603,328,1,1,0,3,0,141,1,Matches,6d5701f2
1713,Takumi Minamino,jp JPN,MFFW,Monaco,fr Ligue 1,28-052,1995,5.3,254,7,27,102,129,27,254,7,2,28.6,5,71.4,165,945,432,18,8,7,24,8,152,41,Matches,f833a830
1714,Tyrone Mings,eng ENG,DF,Aston Villa,eng Premier League,29-361,1993,22.0,1318,211,751,527,43,12,1318,7,2,28.6,2,28.6,794,4298,2385,10,6,1,6,4,873,6,Matches,8397a50c
1715,Óscar Mingueza,es ESP,DF,Celta Vigo,es La Liga,23-300,1999,12.7,909,46,317,425,182,15,909,17,8,47.1,6,35.3,522,2846,1521,21,15,2,18,9,563,36,Matches,056269d7
1716,Rafa Mir,es ESP,FW,Sevilla,es La Liga,25-264,1997,9.0,242,9,25,101,117,44,242,9,0,0.0,8,88.9,113,487,188,10,2,7,17,7,167,39,Matches,bbf5c11b
1717,Aleksei Miranchuk,ru RUS,MF,Torino,it Serie A,27-143,1995,15.9,720,6,42,369,313,37,720,31,10,32.3,17,54.8,465,2537,1187,35,34,7,35,20,572,76,Matches,a9aa0d1d
1718,Juan Miranda,es ESP,DFFW,Betis,es La Liga,23-049,2000,5.0,296,17,73,121,102,12,296,4,2,50.0,2,50.0,137,533,305,9,6,0,3,3,173,36,Matches,ead61f73
1719,Fabio Miretti,it ITA,MFFW,Juventus,it Serie A,19-218,2003,9.2,501,11,76,252,180,36,501,27,9,33.3,16,59.3,285,1391,721,21,13,4,29,19,343,67,Matches,34693494
1720,Tyrick Mitchell,eng ENG,DF,Crystal Palace,eng Premier League,23-189,1999,19.1,1114,73,417,474,233,16,1114,20,10,50.0,7,35.0,483,1948,885,15,12,3,22,14,561,53,Matches,5cbd1eb0
1721,Kaoru Mitoma,jp JPN,FWMF,Brighton,eng Premier League,25-293,1997,12.2,681,11,87,247,357,72,681,58,30,51.7,21,36.2,459,3416,1975,70,39,33,31,15,515,128,Matches,74618572
1722,Aleksandar Mitrović,rs SRB,FW,Fulham,eng Premier League,28-174,1994,19.1,706,23,70,339,302,124,700,41,22,53.7,18,43.9,398,1661,612,19,11,10,57,49,563,88,Matches,3925dbd6
1723,Stefan Mitrović,rs SRB,DF,Getafe,es La Liga,32-291,1990,11.6,452,78,291,159,6,4,452,0,0,,0,,224,1028,397,0,0,0,1,0,239,1,Matches,e6777e6b
1724,Maximilian Mittelstädt,de GER,DF,Hertha BSC,de Bundesliga,25-356,1997,6.1,444,21,138,215,101,6,444,24,12,50.0,10,41.7,168,1169,633,19,14,3,8,6,179,21,Matches,88d4144a
1725,Henrikh Mkhitaryan,am ARM,MF,Inter,it Serie A,34-047,1989,16.1,910,23,132,511,281,27,910,18,7,38.9,9,50.0,521,2900,1429,35,31,7,34,14,635,53,Matches,dd0daf32
1726,Anthony Modeste,fr FRA,FW,Dortmund,de Bundesliga,34-329,1988,8.5,201,21,31,94,77,30,201,4,0,0.0,4,100.0,86,289,92,3,1,2,18,8,132,33,Matches,34e4343c
1727,Luka Modrić,hr CRO,MF,Real Madrid,es La Liga,37-181,1985,14.0,1185,17,168,623,401,30,1184,29,12,41.4,13,44.8,776,3971,1788,31,38,8,24,7,945,46,Matches,6025fab1
1728,Terem Moffi,ng NGA,FW,Nice,fr Ligue 1,23-288,1999,4.5,102,0,3,47,54,19,102,11,8,72.7,3,27.3,66,323,106,3,2,3,9,7,78,22,Matches,065dc209
1729,Terem Moffi,ng NGA,FW,Lorient,fr Ligue 1,23-288,1999,15.4,364,10,32,192,152,63,362,38,20,52.6,13,34.2,268,1799,812,29,23,11,41,13,263,61,Matches,065dc209
1730,Mostafa Mohamed,eg EGY,FW,Nantes,fr Ligue 1,25-101,1997,14.9,424,32,51,181,195,69,424,23,10,43.5,11,47.8,240,1465,434,9,11,7,36,18,281,65,Matches,595e6f3e
1731,Tobias Mohr,de GER,DFMF,Schalke 04,de Bundesliga,27-197,1995,8.2,523,30,195,196,138,10,523,5,2,40.0,2,40.0,218,1231,659,15,5,1,8,7,237,23,Matches,9ec9c8b6
1732,Johan Mojica,co COL,DF,Villarreal,es La Liga,30-200,1992,6.3,411,12,117,163,135,8,411,13,5,38.5,7,53.8,260,1689,810,26,12,5,8,5,251,37,Matches,608f2092
1733,Johan Mojica,co COL,DFMF,Elche,es La Liga,30-200,1992,3.0,209,12,65,76,70,4,209,9,4,44.4,4,44.4,125,649,356,14,11,2,5,4,112,11,Matches,608f2092
1734,Clinton Mola,eng ENG,DF,Stuttgart,de Bundesliga,21-359,2001,0.2,14,4,9,4,2,0,14,0,0,,0,,1,11,0,0,0,0,0,0,0,0,Matches,29ddfb9c
1735,Nahuel Molina,ar ARG,DF,Atlético Madrid,es La Liga,24-337,1998,18.3,1304,48,399,492,417,26,1304,28,11,39.3,15,53.6,629,2850,1787,51,27,5,20,5,799,148,Matches,23610943
1736,Salvatore Molina,it ITA,DF,Monza,it Serie A,31-067,1992,2.5,139,6,29,47,65,1,139,4,2,50.0,1,25.0,79,416,275,9,5,0,4,2,85,22,Matches,54ab971f
1737,Florent Mollet,fr FRA,MF,Nantes,fr Ligue 1,31-110,1991,5.2,292,5,41,139,113,6,292,9,5,55.6,3,33.3,184,1063,445,12,6,0,7,9,197,25,Matches,7e82a78f
1738,Florent Mollet,fr FRA,MF,Schalke 04,de Bundesliga,31-110,1991,4.6,206,2,23,109,76,10,206,5,2,40.0,3,60.0,110,632,310,6,8,0,11,8,131,24,Matches,7e82a78f
1739,Jon Moncayola,es ESP,MFDF,Osasuna,es La Liga,24-300,1998,17.4,1024,41,249,564,220,10,1024,1,1,100.0,0,0.0,537,2178,1185,15,16,1,18,6,645,32,Matches,9939e168
1740,Monchu,es ESP,MF,Valladolid,es La Liga,23-177,1999,13.4,799,34,212,430,162,12,799,10,6,60.0,4,40.0,393,1770,798,10,12,3,19,11,459,19,Matches,8ac501f5
1741,César Montes,mx MEX,DF,Espanyol,es La Liga,26-013,1997,5.5,276,42,155,116,6,4,276,0,0,,0,,109,579,373,4,2,0,2,0,126,2,Matches,28e957d7
1742,Daniele Montevago,it ITA,FW,Sampdoria,it Serie A,19-356,2003,2.6,79,2,4,31,44,18,79,4,0,0.0,4,100.0,42,141,44,1,1,1,9,4,61,10,Matches,ca73910d
1743,Gonzalo Montiel,ar ARG,DF,Sevilla,es La Liga,26-067,1997,10.6,667,28,180,277,217,25,667,15,5,33.3,10,66.7,357,1856,1088,23,18,3,16,7,402,67,Matches,374d5158
