Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,-9999
51,Jean-Daniel Akpa-Akpro,ci CIV,MF,Empoli,it Serie A,30-149,1992,8.5,384,15,98,210,84,13,384,25,15,60.0,9,36.0,214,1160,523,13,17,6,14,9,234,26,Matches,fdf4b948
52,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,27-324,1995,13.3,828,82,362,399,75,14,828,16,4,25.0,11,68.8,435,2276,1028,13,12,3,12,3,474,23,Matches,6ec6fde0
53,David Alaba,at AUT,DF,Real Madrid,es La Liga,30-258,1992,17.2,1079,100,409,445,231,19,1079,4,3,75.0,1,25.0,641,2828,1665,14,21,2,7,3,779,58,Matches,05439de2
54,Ángel Alarcón,es ESP,MFFW,Barcelona,es La Liga,18-298,2004,0.3,8,1,1,2,5,1,8,0,0,,0,,6,27,13,0,0,0,0,1,8,2,Matches,455c26a4
55,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,24-049,1999,2.5,113,3,20,68,25,1,113,0,0,,0,,62,267,81,2,0,0,3,4,74,6,Matches,99ea2ddd
56,Lucas Alario,ar ARG,FW,Eint Frankfurt,de Bundesliga,30-152,1992,3.0,99,10,18,39,45,16,99,8,5,62.5,3,37.5,46,224,109,2,6,1,3,7,70,12,Matches,834d0be5
57,Jordi Alba,es ESP,DF,Barcelona,es La Liga,33-353,1989,11.1,1137,21,205,590,349,23,1137,9,5,55.6,4,44.4,684,2794,1528,31,21,4,5,6,821,106,Matches,4601e194
58,Luis Alberto,es ESP,MF,Lazio,it Serie A,30-162,1992,14.7,1170,19,154,639,385,26,1168,17,3,17.6,14,82.4,635,2994,1700,44,44,5,17,16,852,58,Matches,5294a83f
59,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,37-186,1985,20.9,1509,193,739,738,40,7,1509,6,3,50.0,3,50.0,942,6415,4276,12,9,0,10,5,1030,2,Matches,4bd414c1
60,Marc Albrighton,eng ENG,FWMF,Leicester City,eng Premier League,33-111,1989,2.6,174,6,33,62,80,5,174,1,1,100.0,0,0.0,83,397,149,5,5,0,4,2,116,18,Matches,b827d5b3
61,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,31-332,1991,12.8,1122,41,257,702,168,7,1122,28,19,67.9,4,14.3,634,3315,1541,12,18,0,11,18,802,22,Matches,77e84962
62,Carlos Alcaraz,ar ARG,MF,Southampton,eng Premier League,20-099,2002,2.1,90,4,16,43,33,8,90,6,3,50.0,2,33.3,65,354,218,7,7,1,4,5,61,7,Matches,4abac767
63,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,31-312,1991,13.0,669,37,174,397,105,12,669,11,6,54.5,4,36.4,361,1909,765,14,12,1,24,18,384,10,Matches,036bba5f
64,Omar Alderete,py PAR,DF,Getafe,es La Liga,26-073,1996,11.0,561,51,230,297,43,12,561,11,7,63.6,4,36.4,270,1364,891,14,7,1,7,4,290,6,Matches,bb08bce9
65,Iván Alejo,es ESP,MFFW,Cádiz,es La Liga,28-027,1995,8.9,340,17,73,102,167,15,340,24,4,16.7,15,62.5,199,1391,582,28,18,2,24,16,217,53,Matches,3d7e48ce
66,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,20-131,2002,2.5,79,60,79,0,0,0,79,0,0,,0,,48,193,102,0,0,0,1,0,36,0,Matches,9e17ccff
67,Carles Aleñá,es ESP,MF,Getafe,es La Liga,25-063,1998,17.3,797,13,113,467,226,16,797,27,15,55.6,8,29.6,472,2124,915,18,17,1,34,19,581,58,Matches,6c811eb7
68,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,24-153,1998,20.8,2007,58,458,1013,548,31,2007,16,12,75.0,3,18.8,1082,3954,1970,30,20,5,27,15,1261,109,Matches,cd1acf9d
69,Alejandro Alfaro,es ESP,MF,Elche,es La Liga,20-267,2002,0.2,2,0,0,1,1,0,2,1,0,0.0,1,100.0,1,6,0,0,1,0,0,0,2,0,Matches,b907d169
70,Ángel Algobia,es ESP,MF,Getafe,es La Liga,23-259,1999,10.2,531,10,117,340,75,7,531,3,2,66.7,1,33.3,284,1301,577,8,2,2,11,5,338,7,Matches,acc1aefa
71,Mohamed Ali Cho,fr FRA,FW,Real Sociedad,es La Liga,19-049,2004,3.6,148,2,24,49,82,15,148,24,9,37.5,11,45.8,103,808,452,19,5,9,19,7,101,38,Matches,f8405304
72,Faride Alidou,de GER,DFMF,Eint Frankfurt,de Bundesliga,21-234,2001,1.4,83,0,14,47,23,3,83,8,2,25.0,5,62.5,37,224,129,4,3,2,4,3,41,12,Matches,00f518d8
73,Alisson,br BRA,GK,Liverpool,eng Premier League,30-158,1992,25.0,1027,785,1002,25,0,0,1027,0,0,,0,,654,3115,1920,0,0,0,1,0,585,0,Matches,7a2e46a8
74,Jim Allevinah,ga GAB,DFFW,Clermont Foot,fr Ligue 1,28-010,1995,16.4,728,23,147,318,276,50,728,64,28,43.8,30,46.9,540,4086,1907,61,43,9,35,33,494,100,Matches,1956b948
75,Dele Alli,eng ENG,MF,Everton,eng Premier League,26-332,1996,0.4,20,0,1,8,11,2,20,1,0,0.0,1,100.0,11,30,3,0,0,0,3,1,14,1,Matches,cea4ee8f
76,Domingos André Ribeiro Almeida,pt POR,MF,Valencia,es La Liga,22-283,2000,16.7,965,22,155,477,347,12,965,44,19,43.2,19,43.2,607,3539,1919,45,39,2,23,29,645,47,Matches,e6697917
