Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
2473,Aboubakar Sidibé,fr FRA,DF,Clermont Foot,fr Ligue 1,25,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,ae5b93a0
2474,Alassane Sidibe,ci CIV,MF,Atalanta,it Serie A,19,2002,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,Matches,f944979d
2475,Djibril Sidibé,fr FRA,DF,Monaco,fr Ligue 1,29,1992,10.5,6,0,0,17,9,0,23,16,13,0,1,0,52,14,4,77.8,Matches,4c5b714f
2476,Kaj Sierhuis,nl NED,FW,Reims,fr Ligue 1,23,1998,0.9,0,0,0,0,0,0,0,0,1,0,0,0,4,1,3,25.0,Matches,9c2b1f11
2477,Francisco Sierralta,cl CHI,DF,Watford,eng Premier League,24,1997,4.7,0,0,0,4,3,0,0,6,3,0,0,1,17,15,1,93.8,Matches,0f933743
2478,Arnór Sigurðsson,is ISL,FWMF,Venezia,it Serie A,22,1999,2.0,0,0,0,2,1,0,3,1,1,0,0,0,12,0,7,0.0,Matches,f209b81e
2479,Kiliann Sildillia,fr FRA,DFMF,Freiburg,de Bundesliga,19,2002,1.9,1,0,0,1,1,0,5,2,3,0,0,0,16,1,4,20.0,Matches,313254a3
2480,Adrien Silva,pt POR,MF,Sampdoria,it Serie A,32,1989,12.0,3,1,0,13,17,0,6,23,12,0,0,0,97,11,11,50.0,Matches,d6f88a1d
2481,André Silva,pt POR,FW,RB Leipzig,de Bundesliga,25,1995,23.1,1,0,0,20,28,16,7,2,9,0,0,0,66,37,65,36.3,Matches,3effaa34
2482,Bernardo Silva,pt POR,MFFW,Manchester City,eng Premier League,26,1994,31.7,6,0,0,30,33,9,58,20,29,1,0,0,156,7,15,31.8,Matches,3eb22ec9
2483,Caio Henrique Oliveira Silva,br BRA,DF,Monaco,fr Ligue 1,24,1997,29.6,5,0,0,19,22,2,127,27,30,1,0,0,205,13,27,32.5,Matches,30af8b93
2484,David Silva,es ESP,MF,Real Sociedad,es La Liga,35,1986,19.1,4,1,0,23,25,3,30,7,17,2,1,0,91,15,11,57.7,Matches,e2716bd0
2485,Fábio Silva,pt POR,FW,Wolves,eng Premier League,19,2002,6.4,0,0,0,13,7,4,2,1,2,0,0,0,18,9,27,25.0,Matches,e7aa9d7c
2486,Gabriel Silva,br BRA,DFMF,Saint-Étienne,fr Ligue 1,30,1991,7.9,1,0,0,9,16,0,7,18,7,0,0,0,25,6,15,28.6,Matches,4914ed4a
2487,Jonathan Silva,ar ARG,DFFW,Getafe,es La Liga,27,1994,2.5,4,0,0,10,5,0,10,3,8,0,0,0,17,1,2,33.3,Matches,f2308b33
2488,Rui Silva,pt POR,GK,Betis,es La Liga,27,1994,21.8,2,0,0,1,3,0,0,1,0,0,1,0,29,3,0,100.0,Matches,ea83bfa6
2489,Thiago Silva,br BRA,DF,Chelsea,eng Premier League,36,1984,29.4,2,0,0,12,12,1,2,44,21,1,0,0,214,56,31,64.4,Matches,86e7deaf
2490,Marco Silvestri,it ITA,GK,Udinese,it Serie A,30,1991,35.0,1,0,0,1,6,0,0,1,0,0,1,0,27,7,0,100.0,Matches,0d422df7
2491,Mohamed Simakan,fr FRA,DF,RB Leipzig,de Bundesliga,21,2000,22.3,5,0,0,25,34,0,6,40,27,0,0,0,159,63,21,75.0,Matches,fcb27134
2492,Giovanni Simeone,ar ARG,FW,Hellas Verona,it Serie A,26,1995,29.5,8,0,0,56,58,34,26,6,15,1,0,0,81,60,108,35.7,Matches,343c0d52
2493,Giovanni Simeone,ar ARG,FW,Cagliari,it Serie A,26,1995,0.1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,,Matches,343c0d52
2494,Giuliano Simeone,ar ARG,MF,Atlético Madrid,es La Liga,18,2002,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,100.0,Matches,a6536561
2495,Ellis Simms,eng ENG,FW,Everton,eng Premier League,20,2001,0.7,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,33.3,Matches,26d3b5be
2496,Moses Simon,ng NGA,FWMF,Nantes,fr Ligue 1,26,1995,25.9,3,0,0,14,26,4,207,12,11,0,0,0,119,15,22,40.5,Matches,5f3eaaf5
2497,Unai Simón,es ESP,GK,Athletic Club,es La Liga,24,1997,34.0,3,0,0,0,1,0,0,1,0,0,0,1,44,7,1,87.5,Matches,5dcf3e90
2498,Xavi Simons,nl NED,MFFW,Paris S-G,fr Ligue 1,18,2003,1.5,1,0,0,2,4,0,1,0,1,0,0,0,8,2,1,66.7,Matches,da4d670f
2499,Wilfried Singo,ci CIV,DF,Torino,it Serie A,20,2000,29.0,5,1,0,43,59,8,80,23,35,0,0,0,170,42,33,56.0,Matches,8b609c34
2500,Daley Sinkgraven,nl NED,DF,Leverkusen,de Bundesliga,26,1995,3.9,0,0,0,0,3,0,7,3,2,0,0,0,22,3,7,30.0,Matches,73000a79
2501,Tobias Sippel,de GER,GK,M'Gladbach,de Bundesliga,33,1988,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches,0d8a37c2
2502,Hugo Siquet,be BEL,DF,Freiburg,de Bundesliga,19,2002,0.2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,Matches,c6cf860f
2503,Salvatore Sirigu,it ITA,GK,Genoa,it Serie A,34,1987,37.0,0,0,0,0,3,0,0,0,1,0,0,1,28,5,0,100.0,Matches,10dc46f0
2504,Issouf Sissokho,ml MLI,MF,Bordeaux,fr Ligue 1,19,2002,4.8,3,1,1,12,7,0,6,7,8,0,0,0,34,1,5,16.7,Matches,792a9d41
2505,Ibrahima Sissoko,fr FRA,MFDF,Strasbourg,fr Ligue 1,23,1997,25.6,6,0,0,60,28,0,21,35,23,1,0,0,169,59,29,67.0,Matches,0f8418aa
2506,Moussa Sissoko,fr FRA,MF,Watford,eng Premier League,31,1989,35.8,5,0,0,35,11,2,26,30,27,0,0,0,241,64,52,55.2,Matches,2acd49b9
2507,Nelson Sissoko,fr FRA,DF,Saint-Étienne,fr Ligue 1,24,1997,0.5,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,,Matches,12bd0579
