Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,-9999
1958,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,30-188,1992,23,2014,88,89.5,22.4,23,88,22,0,,1,1.35,28,31,-3,-0.13,+1.39,27.7,31.3,-3.7,-0.16,+1.25,Matches,7956236f
1959,Iñigo Martínez,es ESP,DF,Athletic Club,es La Liga,31-296,1991,10,900,90,41.7,10.0,10,90,10,0,,3,1.50,16,13,+3,+0.30,+0.01,14.7,8.3,+6.4,+0.64,+0.31,Matches,3fc45c73
1960,Javi Martínez,es ESP,MF,Osasuna,es La Liga,23-077,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,3672b352
1961,Lautaro Martínez,ar ARG,FW,Inter,it Serie A,25-199,1997,25,1950,78,86.7,21.7,22,85,14,3,29,0,2.00,38,26,+12,+0.55,-1.25,35.9,19.5,+16.4,+0.76,-0.23,Matches,f7036e1c
1962,Lisandro Martínez,ar ARG,DF,Manchester Utd,eng Premier League,25-050,1998,23,1763,77,78.4,19.6,20,86,17,3,11,0,1.87,32,32,0,0.00,-1.11,30.3,26.5,+3.9,+0.20,-0.64,Matches,bac46a10
1963,Lucas Martínez Quarta,ar ARG,DF,Fiorentina,it Serie A,26-303,1996,18,1451,81,64.5,16.1,16,86,13,2,41,5,1.33,20,20,0,0.00,+0.23,22.7,18.3,+4.4,+0.27,0.00,Matches,3ec3c1c9
1964,Roger Martínez,es ESP,DF,Espanyol,es La Liga,18-338,2004,1,7,7,0.3,0.1,0,,0,1,7,5,1.00,0,1,-1,-12.86,-12.65,0.1,0.2,-0.1,-1.25,-1.17,Matches,937c6ae6
1965,Gelson Martins,pt POR,MFFW,Monaco,fr Ligue 1,27-302,1995,11,345,31,14.7,3.8,3,74,0,8,15,7,2.18,9,6,+3,+0.78,+0.06,6.7,6.9,-0.3,-0.07,-0.55,Matches,3ef0fa48
1966,Adam Marušić,me MNE,DF,Lazio,it Serie A,30-143,1992,25,2188,88,97.2,24.3,24,89,21,1,64,0,1.92,39,19,+20,+0.82,-2.08,32.6,26.6,+5.9,+0.24,+0.91,Matches,d4535821
1967,Gabriel Marušić,hr CRO,DF,Bayern Munich,de Bundesliga,20-006,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,60734200
1968,Omar Mascarell,es ESP,MF,Elche,es La Liga,30-035,1993,21,1817,87,84.1,20.2,21,87,18,0,,0,0.57,16,38,-22,-1.09,+1.01,18.5,38.7,-20.2,-1.00,+1.36,Matches,11fd2b75
1969,Adam Masina,ma MAR,DF,Udinese,it Serie A,29-066,1994,7,480,69,21.3,5.3,5,79,3,2,43,3,1.29,8,10,-2,-0.37,-0.63,7.5,11.0,-3.5,-0.65,-0.74,Matches,de0f152c
1970,Jordi Masip,es ESP,GK,Valladolid,es La Liga,34-065,1989,17,1517,89,70.2,16.9,17,89,16,0,,5,1.18,13,23,-10,-0.59,+0.25,15.3,29.1,-13.9,-0.82,-0.54,Matches,8fae77ea
1971,Erhan Mašović,rs SRB,DF,Bochum,de Bundesliga,24-107,1998,18,1219,68,58.9,13.5,12,90,12,6,23,1,0.72,15,31,-16,-1.18,+0.51,13.9,26.1,-12.2,-0.90,+0.02,Matches,a396fb61
1972,Han-Noah Massengo,fr FRA,MF,Auxerre,fr Ligue 1,21-245,2001,6,439,73,18.8,4.9,5,83,3,1,22,0,1.50,6,4,+2,+0.41,+1.74,6.3,4.6,+1.6,+0.34,+0.87,Matches,eba1e557
1973,Yanis Massolin,fr FRA,MF,Clermont Foot,fr Ligue 1,20-170,2002,6,60,10,2.6,0.7,0,,0,6,10,9,1.33,1,0,+1,+1.50,+1.86,1.9,1.2,+0.8,+1.15,+1.72,Matches,6ea05ca7
1974,Jaime Mata,es ESP,FW,Getafe,es La Liga,34-136,1988,8,46,6,2.1,0.5,0,,0,8,6,15,1.44,3,3,0,0.00,+0.38,0.4,0.9,-0.5,-1.07,-0.75,Matches,02319ad7
1975,Pape Matar Sarr,sn SEN,MF,Tottenham,eng Premier League,20-176,2002,5,138,28,5.9,1.5,1,75,0,4,16,9,1.20,2,3,-1,-0.65,-1.10,2.1,2.5,-0.4,-0.25,-0.55,Matches,feb5d972
1976,Matas,es ESP,GK,Girona,es La Liga,21-067,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,1cb065ef
1977,Eliot Matazo,be BEL,MFFW,Monaco,fr Ligue 1,21-022,2002,13,716,55,30.6,8.0,8,72,4,5,28,9,2.08,15,13,+2,+0.25,-0.69,13.1,11.2,+1.9,+0.23,-0.23,Matches,15944afd
1978,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,eng Premier League,25-254,1997,21,684,33,30.4,7.6,6,65,0,15,20,3,0.95,3,9,-6,-0.79,-0.50,7.5,12.3,-4.8,-0.63,-0.19,Matches,50e6dc35
1979,Nemanja Matić,rs SRB,MF,Roma,it Serie A,34-220,1988,24,1341,56,59.6,14.9,12,87,9,12,25,1,1.83,23,14,+9,+0.60,+0.41,24.1,12.4,+11.7,+0.79,-0.10,Matches,eb7822d7
1980,Joël Matip,cm CMR,DF,Liverpool,eng Premier League,31-213,1991,11,822,75,36.5,9.1,9,85,7,2,28,5,1.18,15,15,0,0.00,-1.20,16.1,11.6,+4.4,+0.48,-0.02,Matches,b217ef29
1981,Henning Matriciani,de GER,DF,Schalke 04,de Bundesliga,22-360,2000,12,1056,88,51.0,11.7,12,88,11,0,,10,1.00,13,22,-9,-0.77,+0.56,11.9,17.3,-5.4,-0.46,-0.12,Matches,ab3f1bdf
1982,Chrislain Matsima,fr FRA,DFMF,Lorient,fr Ligue 1,20-298,2002,6,227,38,9.7,2.5,2,90,2,4,12,8,1.67,3,5,-2,-0.79,-0.96,1.6,5.9,-4.3,-1.71,-1.48,Matches,cf1ef7ec
1983,Chrislain Matsima,fr FRA,DF,Monaco,fr Ligue 1,20-298,2002,2,127,64,5.4,1.4,2,64,0,0,,4,1.50,2,3,-1,-0.71,-1.52,1.7,1.9,-0.2,-0.12,-0.54,Matches,cf1ef7ec
1984,Jean Mattéo Bahoya,fr FRA,FW,Angers,fr Ligue 1,17-306,2005,1,6,6,0.3,0.1,0,,0,1,6,8,0.00,1,1,0,0.00,+1.43,0.5,0.6,-0.1,-2.22,-1.74,Matches,70d4c949
1985,Azor Matusiwa,nl NED,MF,Reims,fr Ligue 1,24-315,1998,20,1668,83,71.3,18.5,19,86,14,1,28,0,1.70,25,15,+10,+0.54,+0.81,31.7,22.3,+9.4,+0.51,+0.66,Matches,a17a94d6
1986,Neal Maupay,fr FRA,FWMF,Brighton,eng Premier League,26-207,1996,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,4bcf39f6
1987,Neal Maupay,fr FRA,FW,Everton,eng Premier League,26-207,1996,19,942,50,40.3,10.5,10,78,1,9,18,2,1.00,8,12,-4,-0.38,+0.58,11.2,16.7,-5.5,-0.53,+0.03,Matches,4bcf39f6
1988,Aïman Maurer,ma MAR,MF,Clermont Foot,fr Ligue 1,18-165,2004,4,253,63,10.8,2.8,3,77,0,1,23,3,0.75,1,5,-4,-1.42,-1.25,1.9,5.0,-3.1,-1.10,-0.64,Matches,87d31635
1989,Stephy Mavididi,eng ENG,FW,Montpellier,fr Ligue 1,24-282,1998,14,844,60,36.1,9.4,11,70,2,3,26,1,1.00,11,14,-3,-0.32,-0.20,9.4,15.9,-6.5,-0.70,-0.45,Matches,30144daa
1990,Konstantinos Mavropanos,gr GRE,DF,Stuttgart,de Bundesliga,25-088,1997,20,1688,84,81.5,18.8,19,89,17,1,1,0,0.80,23,33,-10,-0.53,-0.06,23.5,25.3,-1.7,-0.09,-0.20,Matches,00963611
1991,Christian Mawissa,fr FRA,DF,Toulouse,fr Ligue 1,17-325,2005,2,98,49,4.2,1.1,1,90,1,1,8,3,1.50,1,6,-5,-4.59,-4.59,1.8,2.6,-0.8,-0.72,-0.60,Matches,2c70d915
1992,Philipp Max,de GER,DF,Eint Frankfurt,de Bundesliga,29-160,1993,5,362,72,17.5,4.0,5,72,1,0,,0,1.40,6,7,-1,-0.25,-0.93,4.4,5.1,-0.6,-0.15,-0.38,Matches,826e8b63
1993,Eric Maxim Choupo-Moting,cm CMR,FW,Bayern Munich,de Bundesliga,33-351,1989,17,1024,60,49.5,11.4,13,74,4,4,15,1,2.06,33,12,+21,+1.85,-0.13,25.6,12.3,+13.3,+1.17,-0.04,Matches,0e6bc38c
1994,Luís Maximiano,pt POR,GK,Lazio,it Serie A,24-063,1999,1,5,5,0.2,0.1,1,5,0,0,,23,3.00,0,0,0,0.00,-0.88,0.1,0.0,+0.1,+0.99,+0.77,Matches,3318286e
1995,Keke Maximilian Topp,de GER,FW,Schalke 04,de Bundesliga,18-349,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,ebb32f3a
1996,Fernand Mayembo,cg CGO,DF,Ajaccio,fr Ligue 1,27-059,1996,8,541,68,23.1,6.0,6,81,4,2,27,3,0.50,4,12,-8,-1.33,-0.38,6.2,10.5,-4.3,-0.72,-0.72,Matches,b20cc590
1997,Borja Mayoral,es ESP,FW,Getafe,es La Liga,25-338,1997,24,1963,82,90.9,21.8,24,82,9,0,,0,1.04,21,31,-10,-0.46,-0.92,18.5,23.9,-5.4,-0.25,+0.97,Matches,64e8ed6d
1998,Derek Mazou-Sacko,fr FRA,MF,Troyes,fr Ligue 1,18-154,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,810edef9
1999,Noussair Mazraoui,ma MAR,DF,Bayern Munich,de Bundesliga,25-115,1997,11,556,51,26.9,6.2,6,78,3,5,17,4,2.36,25,9,+16,+2.59,+0.93,14.7,8.4,+6.4,+1.03,-0.22,Matches,b74277a0
2000,Pasquale Mazzocchi,it ITA,DF,Salernitana,it Serie A,27-225,1995,17,1271,75,56.5,14.1,15,80,8,2,36,0,1.24,19,21,-2,-0.14,+1.15,16.8,22.9,-6.0,-0.43,+0.94,Matches,eb0ec070
2001,Kevin Mbabu,ch SUI,DFFW,Fulham,eng Premier League,27-324,1995,6,144,24,6.2,1.6,1,44,0,5,20,8,0.67,2,7,-5,-3.12,-3.49,1.4,6.8,-5.3,-3.34,-3.15,Matches,493924a7
2002,Noah Mbamba,be BEL,DF,Leverkusen,de Bundesliga,18-063,2005,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches,e75129bd
2003,Kylian Mbappé,fr FRA,FW,Paris S-G,fr Ligue 1,24-079,1998,22,1738,79,74.3,19.3,20,84,14,2,34,0,2.45,50,18,+32,+1.66,+0.31,42.8,24.5,+18.3,+0.95,-0.09,Matches,42fd9c7f
2004,Ibrahima Mbaye,sn SEN,DFMF,Bologna,it Serie A,28-110,1994,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,cfbf9881
2005,Mamadou Mbaye,sn SEN,DF,Cádiz,es La Liga,24-254,1998,7,537,77,24.9,6.0,6,80,5,1,58,7,1.14,4,10,-6,-1.01,-0.40,6.4,8.8,-2.4,-0.40,+0.41,Matches,8aae94b9
2006,Loïc Mbe Soh,fr FRA,DF,Nott'ham Forest,eng Premier League,21-269,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,8f534f8e
2007,Chancel Mbemba,cd COD,DF,Marseille,fr Ligue 1,28-213,1994,25,2105,84,90.0,23.4,24,86,21,1,45,0,2.20,45,21,+24,+1.03,+1.03,38.4,27.8,+10.5,+0.45,-0.59,Matches,e76cb9cc
2008,Luke Mbete-Tatu,eng ENG,DF,Manchester City,eng Premier League,19-172,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,387e1d35
2009,Bryan Mbeumo,cm CMR,FW,Brentford,eng Premier League,23-214,1999,24,1836,77,85.0,20.4,24,77,3,0,,0,1.58,35,28,+7,+0.34,+0.07,27.4,25.8,+1.6,+0.08,-0.68,Matches,6afaebf2
2010,Jason Mbock,fr FRA,MFFW,Angers,fr Ligue 1,23-128,1999,2,25,13,1.1,0.3,0,,0,2,13,2,0.00,0,2,-2,-7.20,-5.84,0.3,0.6,-0.3,-1.11,-0.63,Matches,890bc029
2011,Jean-Manuel Mbom,de GER,MF,Werder Bremen,de Bundesliga,23-013,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,1a5d7cb9
2012,Moustapha Mbow,sn SEN,DF,Reims,fr Ligue 1,23-001,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,3f3a2cba
2013,Nathanael Mbuku,fr FRA,FWMF,Reims,fr Ligue 1,20-358,2002,6,66,11,2.8,0.7,0,,0,6,11,7,1.00,1,2,-1,-1.36,-1.72,1.7,1.6,+0.2,+0.22,-0.10,Matches,46750e9c
2014,Nathanael Mbuku,fr FRA,MF,Augsburg,de Bundesliga,20-358,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches,46750e9c
2015,James McArthur,sct SCO,MF,Crystal Palace,eng Premier League,35-153,1987,1,10,10,0.4,0.1,0,,0,1,10,3,0.00,0,0,0,0.00,+0.44,0.1,0.1,0.0,-0.06,+0.44,Matches,cee31595
2016,Kasey McAteer,eng ENG,MF,Leicester City,eng Premier League,21-107,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,b2c66859
2017,Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,33-096,1989,0,,,,,0,,0,0,,15,,,,,,,,,,,,Matches,36c2ca73
2018,John McGinn,sct SCO,MF,Aston Villa,eng Premier League,28-142,1994,21,1524,73,67.7,16.9,17,84,10,4,26,1,1.29,16,23,-7,-0.41,-0.41,19.3,22.8,-3.5,-0.21,+0.28,Matches,90f91999
2019,Scott McKenna,sct SCO,DF,Nott'ham Forest,eng Premier League,26-117,1996,18,1462,81,65.0,16.2,17,85,16,1,16,4,0.94,14,30,-16,-0.98,-0.07,18.0,25.0,-7.0,-0.43,+0.31,Matches,4e5a4cbc
2020,Weston McKennie,us USA,MF,Leeds United,eng Premier League,24-193,1998,6,465,78,20.7,5.2,5,86,2,1,34,0,0.67,3,6,-3,-0.58,-0.18,4.3,6.0,-1.6,-0.31,-0.13,Matches,01c3aff5
2021,Weston McKennie,us USA,MFDF,Juventus,it Serie A,24-193,1998,15,1052,70,46.8,11.7,13,76,6,2,30,1,1.73,15,13,+2,+0.17,-1.18,16.0,14.5,+1.4,+0.12,-0.50,Matches,01c3aff5
2022,Dwight McNeil,eng ENG,FWMF,Everton,eng Premier League,23-107,1999,24,1418,59,60.6,15.8,16,78,7,8,22,2,0.88,11,27,-16,-1.02,-0.72,18.4,27.1,-8.6,-0.55,0.00,Matches,fc15fb84
2023,Scott McTominay,sct SCO,MF,Manchester Utd,eng Premier League,26-091,1996,17,818,48,36.4,9.1,7,84,5,10,23,2,1.88,14,18,-4,-0.44,-1.07,12.1,16.5,-4.4,-0.49,-1.30,Matches,d93c2511
2024,Gary Medel,cl CHI,MFDF,Bologna,it Serie A,35-218,1987,20,1295,65,57.6,14.4,16,77,6,4,15,1,1.25,20,23,-3,-0.21,-0.21,15.4,18.3,-2.9,-0.20,+0.01,Matches,563a68ad
2025,Facundo Medina,ar ARG,DF,Lens,fr Ligue 1,23-285,1999,23,1970,86,84.2,21.9,23,86,19,0,,1,2.00,34,18,+16,+0.73,0.00,38.7,24.2,+14.5,+0.66,0.00,Matches,6f5ec8bb
2026,Fernando Medrano,es ESP,DF,Celta Vigo,es La Liga,22-348,2000,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches,d854c9d0
2027,Ben Mee,eng ENG,DF,Brentford,eng Premier League,33-169,1989,23,2018,88,93.4,22.4,23,88,21,0,,1,1.65,38,26,+12,+0.54,+3.07,32.9,27.0,+5.9,+0.26,+1.31,Matches,8df7a2fb
2028,Bamo Meïté,ci CIV,DF,Lorient,fr Ligue 1,21-262,2001,7,609,87,26.0,6.8,6,90,6,1,69,8,1.13,8,9,-1,-0.15,-0.30,8.3,11.2,-2.9,-0.43,-0.06,Matches,04ac78d2
2029,Soualiho Meïté,fr FRA,MF,Cremonese,it Serie A,28-357,1994,18,1284,71,57.1,14.3,16,77,8,2,26,1,0.61,9,27,-18,-1.26,-0.61,13.6,26.4,-12.7,-0.89,-0.35,Matches,5cec2c74
2030,Farid El Melali,dz ALG,FWDF,Angers,fr Ligue 1,25-308,1997,11,451,41,19.3,5.0,5,68,1,6,19,2,0.00,3,9,-6,-1.20,+0.28,4.5,7.0,-2.4,-0.48,0.00,Matches,d21e361a
2031,Gonzalo Melero,es ESP,MF,Almería,es La Liga,29-066,1994,15,1084,72,50.2,12.0,14,75,1,1,29,1,1.20,19,15,+4,+0.33,+1.84,15.5,17.3,-1.8,-0.15,+0.65,Matches,3902e91b
2032,Birger Meling,no NOR,DF,Rennes,fr Ligue 1,28-082,1994,18,611,34,26.1,6.8,5,80,1,13,16,4,1.94,15,7,+8,+1.18,+0.76,9.9,7.3,+2.6,+0.38,+0.09,Matches,70c52749
2033,Arthur Melo,br BRA,MF,Liverpool,eng Premier League,26-209,1996,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,48b3dd60
2034,Memphis,nl NED,FW,Barcelona,es La Liga,29-024,1994,2,114,57,5.3,1.3,2,57,0,0,,6,3.00,4,0,+4,+3.16,+1.66,3.8,0.4,+3.4,+2.72,+1.61,Matches,8f696594
2035,Memphis,nl NED,FW,Atlético Madrid,es La Liga,29-024,1994,5,134,27,6.2,1.5,1,63,0,4,18,2,2.60,5,1,+4,+2.69,+2.02,2.9,1.3,+1.6,+1.06,+0.72,Matches,8f696594
2036,Houboulang Mendes,fr FRA,DF,Almería,es La Liga,24-309,1998,12,739,62,34.2,8.2,9,74,3,3,25,10,1.17,9,22,-13,-1.58,-1.52,9.4,17.0,-7.6,-0.93,-0.69,Matches,1545cf15
2037,Nuno Mendes,pt POR,DFMF,Paris S-G,fr Ligue 1,20-263,2002,17,1091,64,46.6,12.1,13,77,5,4,24,1,2.88,38,10,+28,+2.31,+1.37,30.3,11.2,+19.1,+1.57,+1.13,Matches,f20e4cc9
2038,Pedro Mendes,pt POR,DF,Montpellier,fr Ligue 1,32-159,1990,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,6690ef25
2039,Thiago Mendes,br BRA,MFDF,Lyon,fr Ligue 1,30-359,1992,22,1596,73,68.2,17.7,18,85,12,4,18,3,1.45,21,18,+3,+0.17,-0.80,24.5,21.8,+2.8,+0.16,-0.64,Matches,c6e5d20f
2040,Brais Méndez,es ESP,MF,Real Sociedad,es La Liga,26-061,1997,23,1735,75,80.3,19.3,21,78,8,2,45,0,1.78,30,19,+11,+0.57,+0.99,25.2,15.2,+10.0,+0.52,+0.35,Matches,c9e39d91
2041,Diego Méndez,es ESP,MF,Rayo Vallecano,es La Liga,19-192,2003,1,1,1,0.0,0.0,0,,0,1,1,3,1.00,0,0,0,0.00,-0.17,0.0,0.0,0.0,0.00,+0.02,Matches,b151a3f2
2042,Rodrigo Mendoza,es ESP,MF,Elche,es La Liga,17-359,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,d70a000f
2043,Antoine Mendy,fr FRA,DF,Nice,fr Ligue 1,18-286,2004,6,170,28,7.3,1.9,2,74,1,4,6,11,2.33,5,0,+5,+2.65,+2.36,2.6,0.9,+1.6,+0.87,+0.62,Matches,3322e296
2044,Arial Mendy,sn SEN,DF,Clermont Foot,fr Ligue 1,28-122,1994,5,223,45,9.5,2.5,1,90,1,4,33,9,0.80,2,3,-1,-0.40,-0.11,1.5,4.4,-2.9,-1.17,-0.71,Matches,9f0f4b49
2045,Batista Mendy,fr FRA,MFDF,Angers,fr Ligue 1,23-056,2000,23,1886,82,80.6,21.0,23,82,15,0,,0,0.43,14,49,-35,-1.67,-1.27,21.9,33.6,-11.7,-0.56,-0.37,Matches,e472a6f6
2046,Edouard Mendy,sn SEN,GK,Chelsea,eng Premier League,31-008,1992,9,765,85,34.0,8.5,8,90,8,1,45,4,1.11,9,12,-3,-0.35,-0.47,9.1,12.2,-3.1,-0.36,-0.49,Matches,33887998
2047,Ferland Mendy,fr FRA,DF,Real Madrid,es La Liga,27-274,1995,14,1127,81,52.2,12.5,14,81,6,0,,3,2.29,25,14,+11,+0.88,-0.69,25.0,13.8,+11.3,+0.90,-0.64,Matches,3cefcaef
2048,Nampalys Mendy,sn SEN,MF,Leicester City,eng Premier League,30-259,1992,13,545,42,24.2,6.1,5,70,1,8,24,8,1.54,9,8,+1,+0.17,+0.59,9.5,9.7,-0.1,-0.02,+0.55,Matches,1598599e
2049,Gideon Mensah,gh GHA,DF,Auxerre,fr Ligue 1,24-234,1998,17,1517,89,64.8,16.9,17,89,16,0,,2,0.76,13,34,-21,-1.25,-0.70,20.0,23.5,-3.4,-0.20,+0.47,Matches,9bdd8118
2050,Chris Mepham,wls WAL,DF,Bournemouth,eng Premier League,25-124,1997,21,1749,83,77.7,19.4,19,90,18,2,24,2,0.81,18,44,-26,-1.34,-1.16,14.3,34.5,-20.1,-1.04,-0.80,Matches,fed96827
2051,Jorge Meré,es ESP,DF,Cádiz,es La Liga,25-326,1997,1,2,2,0.1,0.0,0,,0,1,2,3,1.00,0,0,0,0.00,+0.71,0.0,0.1,0.0,-1.22,-0.52,Matches,9f979eb2
2052,Alex Meret,it ITA,GK,Napoli,it Serie A,25-352,1997,25,2250,90,100.0,25.0,25,90,25,0,,0,2.60,58,16,+42,+1.68,,46.9,20.0,+26.9,+1.08,,Matches,9413b19f
2053,Mikel Merino,es ESP,MF,Real Sociedad,es La Liga,26-260,1996,20,1513,76,70.0,16.8,17,84,11,3,31,0,1.85,23,20,+3,+0.18,-0.66,22.3,14.3,+8.0,+0.48,+0.10,Matches,d080ed5e
2054,Quentin Merlin,fr FRA,DF,Nantes,fr Ligue 1,20-297,2002,16,1265,79,54.1,14.1,15,84,8,1,4,0,1.06,15,20,-5,-0.36,-0.19,17.7,18.9,-1.2,-0.09,+0.21,Matches,0bfca6a1
2055,Davide Merola,it ITA,FW,Empoli,it Serie A,22-347,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,99a4bb79
2056,Yıldırım Mert Çetin,tr TUR,DF,Lecce,it Serie A,26-067,1997,1,20,20,0.9,0.2,1,20,0,0,,9,0.00,0,1,-1,-4.50,-4.34,0.0,0.7,-0.6,-2.86,-2.58,Matches,c730da00
2057,Roque Mesa,es ESP,MF,Valladolid,es La Liga,33-275,1989,19,1204,63,55.7,13.4,15,71,2,4,35,4,1.11,11,13,-2,-0.15,+1.17,12.9,18.5,-5.6,-0.42,+0.55,Matches,7c4243d4
2058,Illan Meslier,fr FRA,GK,Leeds United,eng Premier League,23-007,2000,25,2250,90,100.0,25.0,25,90,25,0,,0,0.88,29,40,-11,-0.44,,31.4,36.6,-5.2,-0.21,,Matches,6b625ac2
2059,Lionel Messi,ar ARG,FWMF,Paris S-G,fr Ligue 1,35-258,1987,21,1847,88,78.9,20.5,21,88,16,0,,0,2.67,57,17,+40,+1.95,+1.77,46.6,22.0,+24.6,+1.20,+1.07,Matches,d70ce98e
2060,Junior Messias,br BRA,FWDF,Milan,it Serie A,31-300,1991,18,1103,61,49.0,12.3,14,70,2,4,31,2,1.56,23,16,+7,+0.57,+0.34,17.8,11.3,+6.5,+0.53,+0.23,Matches,f49c4ae9
2061,Sergio Mestre,es ESP,GK,Atlético Madrid,es La Liga,18-024,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,b2cd9dff
2062,Thomas Meunier,be BEL,DF,Dortmund,de Bundesliga,31-178,1991,9,566,63,27.3,6.3,7,77,5,2,13,4,2.00,5,9,-4,-0.64,-2.01,10.9,7.8,+3.1,+0.49,+0.03,Matches,e162b013
2063,Alexander Meyer,de GER,GK,Dortmund,de Bundesliga,31-330,1991,5,450,90,21.7,5.0,5,90,5,0,,18,1.40,7,9,-2,-0.40,-1.57,7.6,7.0,+0.7,+0.14,-0.41,Matches,b56dd813
2064,Alessandro Micai,it ITA,GK,Salernitana,it Serie A,29-228,1993,0,,,,,0,,0,0,,9,,,,,,,,,,,,Matches,6ab58a9b
2065,Corentin Michel,be BEL,GK,Troyes,fr Ligue 1,22-354,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,4fe0044b
2066,Sven Michel,de GER,FW,Union Berlin,de Bundesliga,32-237,1990,15,322,21,15.6,3.6,1,57,0,14,19,6,1.73,6,3,+3,+0.84,+0.58,4.7,2.3,+2.4,+0.67,+0.80,Matches,1e274a0a
2067,Alexander Mighten,eng ENG,FW,Nott'ham Forest,eng Premier League,20-332,2002,1,8,8,0.4,0.1,0,,0,1,8,4,0.00,0,0,0,0.00,+0.96,0.0,0.2,-0.2,-2.55,-2.02,Matches,10ec4169
2068,Tommaso Milanese,it ITA,MF,Cremonese,it Serie A,20-221,2002,2,27,14,1.2,0.3,0,,0,2,14,18,0.00,0,1,-1,-3.33,-2.36,0.2,0.9,-0.7,-2.19,-1.46,Matches,b2561711
2069,Nikola Milenković,rs SRB,DF,Fiorentina,it Serie A,25-148,1997,18,1417,79,63.0,15.7,16,85,14,2,33,5,1.17,18,22,-4,-0.25,-0.47,21.6,18.2,+3.4,+0.21,-0.16,Matches,bee704fc
2070,Lewis Miley,eng ENG,MF,Newcastle Utd,eng Premier League,16-312,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,2c6835e5
2071,Arkadiusz Milik,pl POL,FW,Juventus,it Serie A,29-009,1994,17,986,58,43.8,11.0,10,82,6,7,24,0,2.00,22,9,+13,+1.19,+0.69,18.5,11.2,+7.3,+0.67,+0.49,Matches,85613cf0
2072,Arkadiusz Milik,pl POL,FW,Marseille,fr Ligue 1,29-009,1994,2,129,65,5.5,1.4,2,65,0,0,,1,2.00,3,1,+2,+1.40,+0.50,1.2,1.8,-0.6,-0.44,-1.01,Matches,85613cf0
2073,Sergej Milinković-Savić,rs SRB,MF,Lazio,it Serie A,28-010,1995,23,1920,83,85.3,21.3,22,86,15,1,27,1,1.83,36,16,+20,+0.94,+0.39,27.7,25.0,+2.6,+0.12,-0.64,Matches,4e6dbac4
2074,Vanja Milinković-Savić,rs SRB,GK,Torino,it Serie A,26-017,1997,25,2250,90,100.0,25.0,25,90,25,0,,0,1.36,27,29,-2,-0.08,,27.4,28.9,-1.5,-0.06,,Matches,9fa26bc2
2075,Éder Militão,br BRA,DF,Real Madrid,es La Liga,25-050,1998,20,1578,79,73.1,17.5,18,87,16,2,11,1,2.20,35,13,+22,+1.25,+0.17,37.1,16.6,+20.5,+1.17,-0.16,Matches,2784f898
2076,Luka Milivojević,rs SRB,MF,Crystal Palace,eng Premier League,31-336,1991,11,293,27,13.0,3.3,2,76,1,9,16,13,1.45,4,3,+1,+0.31,+0.86,3.2,4.9,-1.7,-0.52,-0.03,Matches,2ce2508a
2077,Luis Milla,es ESP,MF,Getafe,es La Liga,28-153,1994,17,1263,74,58.5,14.0,15,81,10,2,23,1,1.06,10,14,-4,-0.29,+0.22,8.4,14.5,-6.2,-0.44,-0.25,Matches,19c36442
2078,Pere Milla,es ESP,FWMF,Elche,es La Liga,30-167,1992,19,1205,63,55.8,13.4,14,77,6,5,25,0,0.47,11,31,-20,-1.49,-0.55,13.3,25.4,-12.1,-0.88,+0.79,Matches,335039a2
2079,Enzo Millot,fr FRA,MF,Stuttgart,de Bundesliga,20-235,2002,13,371,29,17.9,4.1,3,72,0,10,16,5,1.00,8,9,-1,-0.24,+0.34,5.8,8.7,-2.9,-0.69,-0.78,Matches,f76022e7
