Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,-9999
203,Sardar Azmoun,ir IRN,FWMF,Leverkusen,de Bundesliga,28-067,1995,13,554,43,26.8,6.2,5,82,2,8,18,2,0.92,9,11,-2,-0.32,-0.62,12.1,8.0,+4.1,+0.67,+0.52,Matches,10549b49
204,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,33-193,1989,19,1106,58,49.2,12.3,11,83,8,8,24,4,1.26,12,11,+1,+0.08,+0.24,15.1,16.3,-1.2,-0.10,-0.12,Matches,53cad200
205,Sanoussy Ba,de GER,DF,RB Leipzig,de Bundesliga,19-063,2004,1,1,1,0.0,0.0,0,,0,1,1,12,3.00,0,0,0,0.00,-0.74,0.0,0.0,0.0,0.00,-0.73,Matches,f582d5c1
206,Iddrisu Baba,gh GHA,MF,Mallorca,es La Liga,27-046,1996,17,995,59,46.1,11.1,12,73,4,5,23,5,1.41,8,12,-4,-0.36,-0.36,9.9,10.7,-0.8,-0.07,+0.39,Matches,bfd381b3
207,Srđan Babić,rs SRB,DF,Almería,es La Liga,26-321,1996,21,1845,88,85.4,20.5,20,90,20,1,45,3,1.10,24,37,-13,-0.63,-0.35,24.0,31.8,-7.9,-0.38,+0.62,Matches,075fe5a3
208,Loïc Bade,fr FRA,DF,Nott'ham Forest,eng Premier League,22-332,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,114bbdee
209,Loïc Bade,fr FRA,DF,Sevilla,es La Liga,22-332,2000,6,448,75,20.7,5.0,5,85,4,1,23,0,2.00,8,5,+3,+0.60,+1.39,8.2,5.2,+3.1,+0.62,+1.32,Matches,114bbdee
210,Loïc Bade,fr FRA,DF,Rennes,fr Ligue 1,22-332,2000,1,90,90,3.8,1.0,1,90,1,0,,4,3.00,2,1,+1,+1.00,+0.40,1.2,1.4,-0.2,-0.25,-0.58,Matches,114bbdee
211,Édgar Badía,es ESP,GK,Elche,es La Liga,31-025,1992,24,2160,90,100.0,24.0,24,90,24,0,,0,0.50,18,48,-30,-1.25,,21.1,50.3,-29.2,-1.22,,Matches,e4346678
212,Benoît Badiashile,fr FRA,DF,Chelsea,eng Premier League,21-348,2001,6,540,90,24.0,6.0,6,90,6,0,,2,1.50,3,2,+1,+0.17,+0.27,8.6,5.8,+2.8,+0.47,+0.68,Matches,06df8256
213,Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,21-348,2001,11,839,76,35.9,9.3,9,87,8,2,27,2,1.55,20,15,+5,+0.54,-0.30,14.5,15.2,-0.7,-0.07,-0.73,Matches,06df8256
214,Alex Baena,es ESP,MFFW,Villarreal,es La Liga,21-232,2001,22,1263,57,58.5,14.0,12,81,6,10,30,0,1.64,17,13,+4,+0.29,+0.18,22.9,18.3,+4.6,+0.33,+0.41,Matches,518f2234
215,Jaime Báez,uy URU,DF,Cremonese,it Serie A,27-318,1995,2,96,48,4.3,1.1,1,61,0,1,35,13,0.00,0,2,-2,-1.87,-0.91,0.6,1.5,-0.9,-0.84,-0.10,Matches,dfd24c07
