Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
75,Dele Alli,eng ENG,MF,Everton,eng Premier League,26-332,1996,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,cea4ee8f
76,Domingos André Ribeiro Almeida,pt POR,MF,Valencia,es La Liga,22-283,2000,16.7,2,11,5,45.5,0.66,0.30,0.18,0.40,23.3,2,0,0,0.7,0.7,0.06,+1.3,+1.3,Matches,e6697917
77,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,29-027,1994,21.7,10,49,16,32.7,2.26,0.74,0.20,0.63,16.8,0,0,0,6.0,6.0,0.12,+4.0,+4.0,Matches,862a1c15
78,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,32-071,1990,7.5,1,3,1,33.3,0.40,0.13,0.33,1.00,12.4,0,0,0,0.8,0.8,0.26,+0.2,+0.2,Matches,f4290206
79,Mickaël Alphonse,gp GLP,DF,Ajaccio,fr Ligue 1,33-240,1989,11.6,0,10,2,20.0,0.86,0.17,0.00,0.00,17.0,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches,0a63446f
80,Éder Álvarez Balanta,co COL,MF,Schalke 04,de Bundesliga,30-009,1993,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8ce30c57
81,Carlos Álvarez,es ESP,FW,Sevilla,es La Liga,19-215,2003,0.1,0,0,0,,0.00,0.00,,,,,0,0,,,,,,Matches,629081bd
82,Gastón Álvarez,uy URU,DF,Getafe,es La Liga,22-350,2000,9.0,2,3,2,66.7,0.33,0.22,0.67,1.00,16.6,0,0,0,0.4,0.4,0.14,+1.6,+1.6,Matches,852ddfb8
83,Julián Álvarez,ar ARG,FWMF,Manchester City,eng Premier League,23-037,2000,8.0,5,25,10,40.0,3.14,1.26,0.20,0.50,14.4,0,0,0,3.2,3.2,0.13,+1.8,+1.8,Matches,15ab5a2b
84,Agustín Álvarez Martínez,uy URU,FWMF,Sassuolo,it Serie A,21-294,2001,3.5,1,11,3,27.3,3.17,0.87,0.09,0.33,15.2,0,0,0,1.3,1.3,0.12,-0.3,-0.3,Matches,ab472696
85,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,28-044,1995,19.1,1,6,1,16.7,0.31,0.05,0.17,1.00,17.7,0,0,0,0.4,0.4,0.07,+0.6,+0.6,Matches,3ecc11d8
86,Ibrahim Amadou,fr FRA,DFMF,Angers,fr Ligue 1,29-337,1993,4.7,0,2,0,0.0,0.42,0.00,0.00,,24.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,9260926b
87,Selim Amallah,ma MAR,MF,Valladolid,es La Liga,26-114,1996,0.6,0,1,0,0.0,1.67,0.00,0.00,,27.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,00eba9c9
88,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,28-078,1994,15.2,0,3,2,66.7,0.20,0.13,0.00,0.00,25.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,1a4ef233
89,Amath,sn SEN,MFFW,Mallorca,es La Liga,26-236,1996,5.8,1,11,4,36.4,1.89,0.69,0.09,0.25,15.8,0,0,0,1.1,1.1,0.10,-0.1,-0.1,Matches,f3b1d9a2
90,Jordan Amavi,fr FRA,DF,Getafe,es La Liga,29-000,1994,2.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,22721b88
91,Lukáš Ambros,cz CZE,MF,Wolfsburg,de Bundesliga,18-277,2004,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,cd682b6b
92,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,25-029,1998,14.7,0,14,2,14.3,0.96,0.14,0.00,0.00,18.7,1,0,0,1.2,1.2,0.08,-1.2,-1.2,Matches,bcc81786
93,Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,21-065,2002,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2df7cc43
94,Bruno Amione,ar ARG,DF,Sampdoria,it Serie A,21-065,2002,12.8,0,5,1,20.0,0.39,0.08,0.00,0.00,13.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,2df7cc43
