Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,-9999
135,Ricard Artero,es ESP,FW,Girona,es La Liga,20-032,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,5d133e96
136,Arthur,br BRA,FW,Fiorentina,it Serie A,24-318,1998,9.3,26,2.78,19,0,2,2,3,0,1,0.11,1,0,0,0,0,0,Matches,a820e429
137,Santiago Arzamendia,py PAR,DFMF,Cádiz,es La Liga,24-308,1998,4.3,9,2.08,6,2,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,759d8dd7
138,Takuma Asano,jp JPN,FWMF,Bochum,de Bundesliga,28-119,1994,9.5,27,2.83,18,1,2,1,5,0,4,0.42,3,0,1,0,0,0,Matches,13ddc856
139,Santiago Ascacíbar,ar ARG,MF,Cremonese,it Serie A,26-012,1997,8.1,25,3.09,17,1,0,7,0,0,3,0.37,1,0,0,2,0,0,Matches,e26fcca3
140,Sergio Asenjo,es ESP,GK,Valladolid,es La Liga,33-254,1989,7.0,1,0.14,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,9f0ea33f
141,Marco Asensio,es ESP,FWMF,Real Madrid,es La Liga,27-047,1996,7.4,30,4.04,18,6,3,2,1,0,6,0.81,2,1,2,0,1,0,Matches,45af8a54
142,Kristoffer Askildsen,no NOR,MF,Lecce,it Serie A,22-059,2001,6.9,14,2.03,8,4,0,0,2,0,1,0.14,1,0,0,0,0,0,Matches,a69cc629
143,Fisnik Asllani,xk KVX,FW,Hoffenheim,de Bundesliga,20-213,2002,1.4,8,5.54,6,0,0,0,1,1,1,0.69,1,0,0,0,0,0,Matches,35f67a30
144,Kristjan Asllani,al ALB,MF,Inter,it Serie A,21-000,2002,3.3,7,2.14,3,2,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches,0fdcef0e
145,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,35-220,1987,22.5,97,4.32,79,3,2,5,7,1,6,0.27,6,0,0,0,0,0,Matches,7dcf86f6
